Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
1.45 Crore,5 Marla,Islamabad,3 Beds,3 Baths,"Multi Residencia & Orchards, Islamabad, Islamabad Capital",House,,,,,,
32 Crore,4 Kanal,Islamabad,-,-,"Gulberg, Islamabad, Islamabad Capital",Farm House,,,,,,
6.7 Crore,14.2 Marla,Islamabad,6 Beds,6 Baths,"FECHS, Islamabad, Islamabad Capital",House,,,,,,
3.6 Crore,10 Marla,Islamabad,5 Beds,7 Baths,"D-17, Islamabad, Islamabad Capital",House,,,,,,
2.6 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"B-17, Islamabad, Islamabad Capital",House,,,,,,
17.5 Crore,1 Kanal,Islamabad,7 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
9.25 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
13.5 Crore,14.2 Marla,Islamabad,9 Beds,7 Baths,"G-11, Islamabad, Islamabad Capital",House,,,,,,
69 Crore,2.2 Kanal,Islamabad,10 Beds,6 Baths,"F-10, Islamabad, Islamabad Capital",House,,,,,,
10 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
85 Crore,10 Kanal,Islamabad,11 Beds,7 Baths,"Gulberg, Islamabad, Islamabad Capital",Farm House,,,,,,
65 Lakh,2.7 Marla,Islamabad,1 Bed,1 Bath,"DHA Defence, Islamabad, Islamabad Capital",Flat,,,,,,
2.62 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
2.98 Crore,7.3 Marla,Islamabad,2 Beds,2 Baths,"G-11, Islamabad, Islamabad Capital",Flat,,,,,,
5.25 Crore,6 Marla,Islamabad,4 Beds,4 Baths,"I-10, Islamabad, Islamabad Capital",House,,,,,,
4.6 Crore,10 Marla,Islamabad,6 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
15.3 Crore,14 Marla,Islamabad,5 Beds,5 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
15.5 Crore,1 Kanal,Islamabad,4 Beds,5 Baths,"F-8, Islamabad, Islamabad Capital",Flat,,,,,,
3 Crore,9 Marla,Islamabad,5 Beds,6 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
13.8 Crore,1 Kanal,Islamabad,-,-,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
13.85 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
4.15 Crore,5 Marla,Islamabad,4 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
5.1 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
1.8 Crore,5 Marla,Islamabad,4 Beds,-,"National Police Foundation O-9, Islamabad, Islamabad Capital",House,,,,,,
2.7 Crore,5 Marla,Islamabad,3 Beds,5 Baths,"Bahria Town, Islamabad, Islamabad Capital",House,,,,,,
14.5 Crore,1 Kanal,Islamabad,7 Beds,-,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
12 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"D-12, Islamabad, Islamabad Capital",House,,,,,,
